timestamp,name,sample,direction
20241220-124202/,241220A,Bi_on_Ge111,112
20241220-135107/,241220B,Bi_on_Ge111,OB
20241220-150331/,241220C,Bi_on_Ge111,110
20241220-162532/,241220D,Bi_on_Ge111,110
20241220-173054/,241220E,Bi_on_Ge111,OB
20241220-183542/,241220F,Bi_on_Ge111,OB
20241220-200348/,241220G,Bi_on_Ge111,112
20241220-221938/,241220H,Bi_on_Ge111,OB
20241220-232249/,241220I,Bi_on_Ge111,OB
20241221-010537/,241220J,Bi_on_Ge111,OB
20241221-094615/,241221A,Ge111_c8x2,112
20241221-110603/,241221B,Ge111_c8x2,OB
20241221-120955/,241221C,Ge111_c8x2,OB
20241221-134215/,241221D,Ge111_c8x2,OB
20241221-175436/,241221E,Pb_on_Ge111,112
20241221-223529/,241221F,Pb_on_Ge111,112
20241222-105642/,241222A,Ge111_c8x2,112
20241222-122219/,241222B,Ge111_c8x2,OB
20241222-153320/,241222C,Ge111_c8x2,OB
20241222-163006/,241222D,Ge111_c8x2,OB
20241222-173621/,241222E,Ge111_c8x2,110
20241222-221921/,241222F,Bi_on_Ge111,112
20241222-234748/,241222G,Bi_on_Ge111,110
20241223-005902/,241222H,Bi_on_Ge111,110
20241223-015941/,241222I,Bi_on_Ge111,112
20241223-204546/,241223A,Bi_on_Ge111,112
20241223-215740/,241223B,Bi_on_Ge111,110
20241223-231125/,241223C,Bi_on_Ge111,110
20241224-001318/,241223D,Bi_on_Ge111,112
20241224-024214/,241224A,Pb_on_Ge111,112
20241224-035754/,241224B,Pb_on_Ge111,110
20241224-051614/,241224C,Pb_on_Ge111,112
20241224-061512/,241224D,Pb_on_Ge111,OB
20241224-071859/,241224E,Pb_on_Ge111,OB
20241224-081646/,241224F,Pb_on_Ge111,OB
20241224-092803/,241224G,Pb_on_Ge111,110
20241224-150225/,241224H,BiPb_on_Ge111,112
20241224-163813/,241224I,BiPb_on_Ge111,110
20241224-180555/,241224J,BiPb_on_Ge111,110
20241224-194334/,241224K,BiPb_on_Ge111,112
20241224-204410/,241224L,BiPb_on_Ge111,OB
20241224-220154/,241224M,BiPb_on_Ge111,OB
20241225-115510/,241225A,Bi_on_Ge111,112
20241225-130504/,241225B,Bi_on_Ge111,112
20241225-140817/,241225C,Bi_on_Ge111,112
20241225-151715/,241225D,Bi_on_Ge111,OB
20241225-160816/,241225E,Bi_on_Ge111,OB
20241225-165712/,241225F,Bi_on_Ge111,110
20241226-052041/,241226A,BiPb_on_Ge111,110
20241226-061737/,241226B,BiPb_on_Ge111,112
20241226-130510/,241226C,BiPb_on_Ge111,112
20241226-204601/,241226D,BiPb_on_Ge111,112
20241227-004013/,241227A,BiPb_on_Ge111,112
20241227-014558/,241227B,BiPb_on_Ge111,112
20241227-030647/,241227C,BiPb_on_Ge111,112
20241227-052834/,241227D,Pb_on_Si_SIC,112
20241227-073115/,241227E,Pb_on_Si_SIC,110
